AKNA,Activated B cells
ARHGAP25,Activated B cells
CCL21,Activated B cells
CD180,Activated B cells
CD2,Activated B cells
CD27,Activated B cells
CD37,Activated B cells
CD38,Activated B cells
CLEC17A,Activated B cells
CLEC9A,Activated B cells
CLECL1,Activated B cells
FAIM3,Activated B cells
FAM65B,Activated B cells
GIMAP4,Activated B cells
MAP4K1,Activated B cells
PAX5,Activated B cells
TNFRSF17,Activated B cells
TRAF3IP3,Activated B cells
ANLN,Activated CD4 
BRIP1,Activated CD4 
BUB1B,Activated CD4 
CASC5,Activated CD4 
CCNB1,Activated CD4 
CCNB2,Activated CD4 
CCNE2,Activated CD4 
CEP55,Activated CD4 
CKAP2L,Activated CD4 
DLGAP5,Activated CD4 
DTL,Activated CD4 
E2F8,Activated CD4 
ECT2,Activated CD4 
ESCO2,Activated CD4 
EXO1,Activated CD4 
EXOC6,Activated CD4 
FBXO5,Activated CD4 
FIGNL1,Activated CD4 
HELLS,Activated CD4 
HMMR,Activated CD4 
IARS,Activated CD4 
KIF11,Activated CD4 
KIF18A,Activated CD4 
KIF20A,Activated CD4 
KNTC1,Activated CD4 
MAD2L1,Activated CD4 
MASTL,Activated CD4 
MTHFD2,Activated CD4 
NCAPG2,Activated CD4 
NCAPH,Activated CD4 
NEIL3,Activated CD4 
NUF2,Activated CD4 
PRC1,Activated CD4 
PSAT1,Activated CD4 
RTKN2,Activated CD4 
ADRM1,Activated CD8 
AHSA1,Activated CD8 
C1GALT1C1,Activated CD8 
CCT5,Activated CD8 
CCT6B,Activated CD8 
CETN3,Activated CD8 
CSE1L,Activated CD8 
EIF2S1,Activated CD8 
GAL,Activated CD8 
GEMIN6,Activated CD8 
GPT2,Activated CD8 
KIAA0101,Activated CD8 
MND1,Activated CD8 
MPZL1,Activated CD8 
MRPS16,Activated CD8 
PCNA,Activated CD8 
PTRH2,Activated CD8 
RFC5,Activated CD8 
SPC25,Activated CD8 
TIMM13,Activated CD8 
TIMM8B,Activated CD8 
TK1,Activated CD8 
TUBB,Activated CD8 
TXNDC17,Activated CD8 
ADAM19,Central memory CD4
AHNAK,Central memory CD4
AIM2,Central memory CD4
COL4A1,Central memory CD4
CYLD,Central memory CD4
DPEP2,Central memory CD4
EPHA4,Central memory CD4
FYN,Central memory CD4
IL6R,Central memory CD4
IPCEF1,Central memory CD4
KLF10,Central memory CD4
MAL,Central memory CD4
MALT1,Central memory CD4
NXN,Central memory CD4
OPTN,Central memory CD4
PLCL2,Central memory CD4
PNRC1,Central memory CD4
SMAD4,Central memory CD4
SPOCK2,Central memory CD4
TRIB2,Central memory CD4
TXK,Central memory CD4
ADAM23,Central memory CD8
ATP2B4,Central memory CD8
BCL2L11,Central memory CD8
CD300A,Central memory CD8
CD80,Central memory CD8
CHN1,Central memory CD8
F2R,Central memory CD8
